Q100	Boston
Q1000	Gabon
Q1000051	Joseph C. O'Mahoney
Q1000056	Sušice
Q100013	Brembilla
Q1000138	Cantenac
Q100015	Brignano Gera d'Adda
Q100016	Brumano
Q100018	Brusaporto
Q1000217	Eveleth
Q100036	Bastiglia
Q100038	Bomporto
Q100039	Campogalliano
Q1000394	This Modern Age
Q100040	Camposanto
Q100041	Carpi
Q100043	Castelfranco Emilia
Q100044	Castelnuovo Rangone
Q100045	Castelvetro di Modena
Q100046	Cavezzo
Q100048	Concordia sulla Secchia
Q100049	Fanano
Q100050	Finale Emilia
Q100051	Fiorano Modenese
Q100052	Fiumalbo
Q100055	Formigine
Q1000556	Bud Poile
Q100056	Frassinoro
Q100057	Guiglia
Q100058	Lama Mocogno
Q100060	Maranello
Q100061	Marano sul Panaro
Q100064	Medolla
Q100065	Mirandola
Q1000678	Randy McKay
Q100069	Montecreto
Q100070	Montefiorino
Q100072	Montese
Q100073	Leberecht Migge
Q100080	Nonantola
Q100081	Novi di Modena
Q100083	Palagano
Q100084	Pavullo nel Frignano
Q100086	Pievepelago
Q100087	Polinago
Q100088	Prignano sulla Secchia
Q100089	Ravarino
Q100091	Riolunato
Q100092	San Cesario sul Panaro
Q100094	San Felice sul Panaro
Q100099	San Possidonio
Q100100	San Prospero
Q100104	Savignano sul Panaro
Q100105	Serramazzoni
Q100107	Sestola
Q100108	Soliera
Q100109	Spilamberto
Q100111	Vignola
Q1001114	Buddy Baker
Q100113	Zocca
Q1001134	Hilton Head Island
Q1001185	Buddy Edelen
Q1001214	Buddy Ebsen
Q100122	Kurt Kreuger
Q100123	Calcinate
Q100125	Calcio, Lombardy
Q100128	Calusco d'Adda
Q100129	Calvenzano
Q100133	Camerata Cornello
Q100135	Canonica d'Adda
Q100137	Capizzone
Q100141	Capriate San Gervasio
Q1001416	Roseau
Q100143	Caprino Bergamasco
Q100145	Caravaggio
Q100149	Carobbio degli Angeli
Q100151	Carona
Q100153	Carvico
Q100155	Casazza
Q100158	Casirate d'Adda
Q100161	Casnigo
Q100162	Cassiglio
Q100165	Castel Rozzone
Q100166	Orkney Islands
Q100167	Castelli Calepio
Q100170	Castione della Presolana
Q1001743	Fisher
Q100188	Cluj-Napoca
Q100192	Castro
Q100193	Cavernago
Q1001943	Buffalo Bill and the Indians, or Sitting Bull's History Lesson
Q100195	Cazzano Sant'Andrea
Q100199	Cenate Sopra
Q1001994	Buffalo Girls
Q1002003	Albas
Q1002048	Saint-Frézal-de-Ventalon
Q1002086	Hures-la-Parade
Q1002100	Miracle at St. Anna
Q1002117	Saint-Germain-de-Calberte
Q1002142	Buffalo '66
Q100233	Udo Weilacher
Q1002490	New Bern
Q10027	Baarn
Q100304	Arved Deringer
Q1003240	Cañon City
Q100347	Cenate Sotto
Q100354	Cene
Q100358	Cerete
Q10036	De Ronde Venen
Q100361	Chignolo d'Isola
Q100365	Chiuduno
Q100368	Cisano Bergamasco
Q1003708	Fred Arthur
Q100371	Ciserano
Q100373	Cividate al Piano
Q1003845	Frequency
Q100388	Clusone
Q100391	Colere
Q100394	Cologno al Serio
Q100396	Colzate
Q1004007	Pessoulens
Q100404	Comun Nuovo
Q100407	Corna Imagna
Q1004082	Pessan
Q1004089	Tournecoupe
Q100410	Cornalba
Q100413	Cortenuova
Q10042	Stichtse Vecht
Q100420	Costa Valle Imagna
Q100423	Costa Volpino
Q100428	Costa di Mezzate
Q100436	Costa di Serina
Q100439	Covo
Q100440	Larry Hagman
Q1004530	Montignac
Q1004531	Bullets Over Broadway
Q1004626	Saint-Seurin-sur-l'Isle
Q1004744	Frontenac
Q1004792	Saint-Sauvy
Q1004798	Riguepeu
Q1004853	Rozès
Q1004886	Saint-Orens-Pouy-Petit
Q1005	The Gambia
Q100547	Wilhelm Spiegelberg
Q1006	Guinea
Q1006261	Tarsac
Q1006317	Meilhan
Q1006382	Malabat
Q1006408	Sesimbra
Q100654	Curno
Q1006574	Carmichael
Q1006586	Sun City
Q100666	Cusio
Q1006762	Lannepax
Q1006765	Lias-d'Armagnac
Q1006773	Magnan
Q100694	Immanuel Bloch
Q1006997	Carlo Di Palma
Q1007	Guinea-Bissau
Q1007134	Eijsden
Q1007201	Gawler
Q1007407	Fort Saskatchewan
Q1007452	Saint-Pierre-de-Bat
Q100753	Albareto
Q100755	Bardi, Emilia-Romagna
Q100758	Bedonia
Q100761	Berceto
Q100764	Bore
Q100767	Borgo Val di Taro
Q100772	Busseto
Q100775	Calestano
Q100779	Collecchio
Q100782	Colorno
Q100785	Compiano
Q100788	Corniglio
Q1008	Ivory Coast
Q100808	Felino
Q100811	Fidenza
Q100814	Fontanellato
Q100819	Fontevivo
Q100826	Fornovo di Taro
Q100829	Langhirano
Q100833	Lesignano de' Bagni
Q1008351	Rio Bravo
Q1008369	Gary Bergman
Q100837	Medesano
Q100843	Monchio delle Corti
Q100846	Montechiarugolo
