P38	base currency, used money
P53	house, dynasty, noble family, royal house
P65	discovery site
P183	endemism
P193	building contractor, builder, general contractor, main contractor, prime contractor, built by, constructed by
P397	star, planetary system, primary, orbits, parent body
P520	weapon, wields, armed with, ship armament
P834	depot, rail yard, railway depot
P1079	launch service provider
P1951	private investor, investors
P3093	recovery group, recovery vehicle
P3815	eruption monitored by, volcano monitored by
P4661	creates lake, creates reservoir, dam created reservoir, impounds, lake created
P4792	impounded by
P7047	arch-enemy of, archenemy of, archfoe of, archnemesis of, archrival of, archvillain of, opponent of, rival of
P6	president, chancellor, mayor, prime minister, governor, premier, first minister, executive power headed by, government headed by, head of national government
P17	state, land, sovereign state, host country
P19	birth location, birthplace, location of birth, POB, birth city, birth place, born at, born in, location born
P20	POD, deathplace, location of death, death location, death place, died in
P26	husband, husbands, marriage partner, married, married to, marry, spouses, wed, wedded to, wife, wives
P27	citizenship, citizen of, national of, subject of (country), (legal) nationality
P35	leader, president, queen, monarch, king, emperor, governor, state headed by, chief of state
P36	seat, chef-lieu, county seat, administrative centre, administrative headquarters, capital city, capital town, court residence, has capital, principal place, administrative seat
P40	son, issue, children, daughter, daughters, has child, has children, has daughter, has daughters, has kid, has kids, has son, has sons, kid, kids, offspring, progeny, sons, descendants, parent of
P47	border, adjacent to, bordered by, borders, next to
P50	writer, authors, creator, written by, by, writers, author(s), writer(s)
P54	team, sport team, club played for, member of team, of team, part of team, played for, player of, plays for, team played for, teams played for
P57	film director, movie director, directed by
P58	written by, scriptwriter, film script by, screenplay by, teleplay by, writer (of screenplays), writing credits
P61	coined, inventor, developer, developed by, created by, invented, discoverer, first described, invented by, inventor or discoverer, discovered by
P66	ancestral village, native place, native village
P69	education, faculty, alma mater, alumna of, alumni of, alumnus of, college attended, graduate of, graduated from, school attended, studied at, university attended, attended, place of education, attended school at, education place, schooled at, schooling place, went to school at
P81	railway line, is on, line connected to, rail line connected to
P84	architecture firm
P85	national anthem, march, official song
P86	songwriter, composed by, music by, musical score by, written by
P88	client, built for, commissioner, developer, made for, orderer
P98	compiler, compiled by, edited by, associate editor
P101	academic discipline, subject, area, field of study, discipline, activity, FOW, scientific discipline, domain, trade, academic area, academic subject, be researcher in, conduct research about, fields, research on, responsible for, scientific area, specialism, speciality, studies, specialty, domain of activity, activity domain, area of work
P102	political party, party, member of, member of party, party membership, political party member
P108	employed by, worked at, worked for, working for, working place, works at, works for, working at
