Q100	city in and state capital of Massachusetts, United States
Q1000	equatorial country in West Africa
Q1000051	American journalist, lawyer, and politician (1884-1962)
Q1000056	town in the Pilsen Region of the Czech Republic
Q100013	Italian comune of Val Brembilla
Q1000138	former commune in Gironde, France
Q100015	Italian comune
Q100016	Italian comune
Q100018	Italian comune
Q1000217	city in Saint Louis County, Minnesota, United States
Q100036	Italian comune
Q100038	Italian comune
Q100039	Italian comune
Q1000394	1931 film by Nick Grinde
Q100040	Italian comune
Q100041	Italian comune in Emilia-Romagna
Q100043	Italian comune
Q100044	Italian comune
Q100045	Italian comune
Q100046	Italian comune
Q100048	Italian comune
Q100049	Italian comune
Q100050	Italian comune
Q100051	Italian comune
Q100052	Italian comune
Q100055	Italian comune
Q1000556	Canadian ice hockey player, coach, general manager, and league executive
Q100056	Italian comune
Q100057	Italian comune
Q100058	Italian comune
Q100060	Italian comune
Q100061	Italian comune
Q100064	Italian comune
Q100065	Italian comune
Q1000678	Canadian ice hockey player
Q100069	Italian comune
Q100070	Italian comune
Q100072	Italian comune
Q100073	German landscape architect, regional planner and polemical writer
Q100080	Italian comune
Q100081	Italian comune
Q100083	Italian comune
Q100084	Italian comune
Q100086	Italian comune
Q100087	Italian comune
Q100088	Italian comune
Q100089	Italian comune
Q100091	Italian comune
Q100092	Italian comune
Q100094	Italian comune
Q100099	Italian comune
Q100100	Italian comune
Q100104	Italian comune
Q100105	Italian comune
Q100107	Italian comune
Q100108	Italian comune
Q100109	Italian comune
Q100111	Italian comune
Q1001114	American composer, big band arranger, orchestra leader
Q100113	Italian comune
Q1001134	resort town in South Carolina, USA
Q1001185	American marathoner
Q1001214	American actor and dancer (1908-2003)
Q100122	actor (1916-2006)
Q100123	Italian comune
Q100125	Italian comune
Q100128	Italian comune
Q100129	Italian comune
Q100133	Italian comune
Q100135	Italian comune
Q100137	Italian comune
Q100141	Italian comune
Q1001416	city in Roseau County, Minnesota, United States
Q100143	Italian comune
Q100145	Italian comune
Q100149	Italian comune
Q100151	comune in Lombary, Italy
Q100153	Italian comune
Q100155	Italian comune
Q100158	Italian comune
Q100161	Italian comune
Q100162	Italian comune
Q100165	Italian comune
Q100166	archipelago, county and council area in northern Scotland
Q100167	Italian comune
Q100170	Italian comune
Q1001743	suburb of Canberra, Australia
Q100188	city in Cluj County, Romania
Q100192	comune in the Province of Bergamo in the Italian region of Lombardy
Q100193	Italian comune
Q1001943	1976 film by Robert Altman
Q100195	Italian comune
Q100199	Italian comune
Q1001994	1995 television film directed by Rod Hardy
Q1002003	commune in Lot, France
Q1002048	former commune in Lozère, France
Q1002086	commune in Lozère, France
Q1002100	2008 film by Spike Lee
Q1002117	commune in Lozère, France
Q1002142	1998 film by Vincent Gallo
Q100233	German landscape architect, author and Professor for Landscape Architecture
Q1002490	city in and county seat of Craven County, North Carolina
Q10027	municipality in the Netherlands
Q100304	German lawyer and politician for the CDU (1913-2011)
Q1003240	city in Colorado, United States
Q100347	Italian comune
Q100354	Italian comune
Q100358	Italian comune
Q10036	municipality in the Netherlands
Q100361	Italian comune
Q100365	Italian comune
Q100368	Italian comune
Q1003708	Canadian ice hockey defenceman
Q100371	Italian comune
Q100373	Italian comune
Q1003845	2000 film by Gregory Hoblit
Q100388	town and commune in Lombardy, Italy
Q100391	place and comune in Lombardy, Italy
Q100394	Italian comune
Q100396	Italian comune
Q1004007	commune in Gers, France
Q100404	Italian comune
Q100407	Italian comune
Q1004082	commune in Gers, France
Q1004089	commune in Gers, France
Q100410	Italian comune
Q100413	Italian comune
Q10042	municipality in the Netherlands
Q100420	Italian comune
Q100423	Italian comune
Q100428	Italian comune
Q100436	Italian comune
Q100439	Italian comune
Q100440	American film and television actor (1931-2012)
Q1004530	commune in Gironde, France
Q1004531	1994 film by Woody Allen
Q1004626	commune in Gironde, France
Q1004744	commune in Gironde, France
Q1004792	commune in Gers, France
Q1004798	commune in Gers, France
Q1004853	commune in Gers, France
Q1004886	commune in Gers, France
Q1005	sovereign state in West Africa
Q100547	German egyptologist
Q1006	sovereign state in Africa
Q1006261	commune in Gers, France
Q1006317	commune in Gers, France
Q1006382	commune in Gers, France
Q1006408	municipality and town of Portugal
Q100654	Italian comune
Q1006574	census-designated place in California, United States of America
Q1006586	census designated place in Maricopa County, Arizona, United States
Q100666	Italian comune
Q1006762	commune in Gers, France
Q1006765	commune in Gers, France
Q1006773	commune in Gers, France
Q100694	German physicist
Q1006997	Italian cinematographer
Q1007	sovereign state in Western Africa
Q1007134	village in the Netherlands
Q1007201	town in South Australia
Q1007407	city in Alberta, Canada
Q1007452	commune in Gironde, France
Q100753	Italian comune
